,Year, Month, Day,     Extent
0,YYYY,    MM,  DD, 10^6 sq km
1,1978,    10,  26,     17.624
2,1978,    10,  28,     17.803
3,1978,    10,  30,     17.670
4,1978,    11,  01,     17.527
5,1978,    11,  03,     17.486
6,1978,    11,  05,     17.343
7,1978,    11,  07,     17.157
8,1978,    11,  09,     17.028
9,1978,    11,  11,     16.815
10,1978,    11,  13,     16.371
11,1978,    11,  15,     16.176
12,1978,    11,  17,     15.520
13,1978,    11,  19,     15.267
14,1978,    11,  21,     15.027
15,1978,    11,  23,     14.681
16,1978,    11,  25,     14.449
17,1978,    11,  27,     13.980
18,1978,    11,  29,     13.619
19,1978,    12,  01,     13.330
20,1978,    12,  03,     13.097
21,1978,    12,  05,     12.829
22,1978,    12,  07,     12.436
23,1978,    12,  09,     11.963
24,1978,    12,  11,     11.652
25,1978,    12,  13,     11.148
26,1978,    12,  15,     10.664
27,1978,    12,  17,     10.239
28,1978,    12,  19,      9.758
29,1978,    12,  21,      9.362
30,1978,    12,  23,      8.706
31,1978,    12,  25,      8.362
32,1978,    12,  27,      7.907
33,1978,    12,  29,      7.588
34,1978,    12,  31,      7.283
35,1979,    01,  02,      6.945
36,1979,    01,  04,      6.838
37,1979,    01,  06,      6.638
38,1979,    01,  08,      6.270
39,1979,    01,  10,      6.138
40,1979,    01,  12,      5.952
41,1979,    01,  14,      5.564
42,1979,    01,  16,      5.379
43,1979,    01,  18,      5.233
44,1979,    01,  20,      4.984
45,1979,    01,  22,      4.609
46,1979,    01,  24,      4.397
47,1979,    01,  26,      4.184
48,1979,    01,  28,      4.004
49,1979,    01,  30,      3.898
50,1979,    02,  01,      3.704
51,1979,    02,  03,      3.516
52,1979,    02,  05,      3.367
53,1979,    02,  07,      3.326
54,1979,    02,  09,      3.212
55,1979,    02,  11,      3.043
56,1979,    02,  13,      3.049
57,1979,    02,  15,      2.916
58,1979,    02,  17,      2.911
59,1979,    02,  19,      2.950
60,1979,    02,  21,      2.945
61,1979,    02,  23,      2.924
62,1979,    02,  25,      2.996
63,1979,    02,  27,      3.116
64,1979,    03,  01,      3.248
65,1979,    03,  03,      3.079
66,1979,    03,  05,      3.228
67,1979,    03,  07,      3.308
68,1979,    03,  09,      3.366
69,1979,    03,  11,      3.443
70,1979,    03,  13,      3.594
71,1979,    03,  15,      3.721
72,1979,    03,  17,      3.832
73,1979,    03,  19,      4.091
74,1979,    03,  21,      4.248
75,1979,    03,  23,      4.500
76,1979,    03,  25,      4.818
77,1979,    03,  27,      4.894
78,1979,    03,  29,      5.208
79,1979,    03,  31,      5.411
80,1979,    04,  02,      5.649
81,1979,    04,  04,      5.826
82,1979,    04,  06,      6.152
83,1979,    04,  08,      6.409
84,1979,    04,  10,      6.806
85,1979,    04,  12,      7.149
86,1979,    04,  14,      7.309
87,1979,    04,  16,      7.587
88,1979,    04,  18,      7.742
89,1979,    04,  20,      8.010
90,1979,    04,  22,      8.273
91,1979,    04,  24,      8.572
92,1979,    04,  26,      8.791
93,1979,    04,  28,      8.970
94,1979,    04,  30,      9.038
95,1979,    05,  02,      9.162
96,1979,    05,  04,      9.498
97,1979,    05,  06,      9.968
98,1979,    05,  08,      9.848
99,1979,    05,  10,     10.109
100,1979,    05,  12,     10.342
101,1979,    05,  14,     10.656
102,1979,    05,  16,     10.953
103,1979,    05,  18,     11.145
104,1979,    05,  20,     11.273
105,1979,    05,  22,     11.458
106,1979,    05,  24,     11.634
107,1979,    05,  26,     11.868
108,1979,    05,  28,     12.116
109,1979,    05,  30,     12.370
110,1979,    06,  01,     12.654
111,1979,    06,  03,     13.061
112,1979,    06,  05,     13.240
113,1979,    06,  07,     13.452
114,1979,    06,  09,     13.523
115,1979,    06,  11,     13.661
116,1979,    06,  13,     13.748
117,1979,    06,  15,     13.952
118,1979,    06,  17,     14.260
119,1979,    06,  19,     14.588
120,1979,    06,  21,     14.909
121,1979,    06,  23,     15.227
122,1979,    06,  25,     15.371
123,1979,    06,  27,     15.513
124,1979,    06,  29,     15.646
125,1979,    07,  01,     15.685
126,1979,    07,  03,     15.779
127,1979,    07,  05,     15.896
128,1979,    07,  07,     15.947
129,1979,    07,  09,     16.128
130,1979,    07,  11,     16.235
131,1979,    07,  13,     16.408
132,1979,    07,  15,     16.588
133,1979,    07,  17,     16.661
134,1979,    07,  19,     16.794
135,1979,    07,  21,     16.864
136,1979,    07,  23,     16.930
137,1979,    07,  25,     17.144
138,1979,    07,  27,     17.042
139,1979,    07,  29,     17.110
140,1979,    07,  31,     17.059
141,1979,    08,  02,     16.944
142,1979,    08,  04,     17.022
143,1979,    08,  06,     16.983
144,1979,    08,  08,     17.000
145,1979,    08,  10,     17.181
146,1979,    08,  12,     17.506
147,1979,    08,  14,     17.620
148,1979,    08,  16,     17.876
149,1979,    08,  18,     18.118
150,1979,    08,  20,     18.136
151,1979,    08,  22,     18.283
152,1979,    08,  24,     18.268
153,1979,    08,  26,     18.203
154,1979,    08,  28,     18.159
155,1979,    08,  30,     18.175
156,1979,    09,  01,     18.187
157,1979,    09,  03,     18.197
158,1979,    09,  05,     18.295
159,1979,    09,  07,     18.280
160,1979,    09,  09,     18.215
161,1979,    09,  11,     18.264
162,1979,    09,  13,     18.361
163,1979,    09,  15,     18.326
164,1979,    09,  17,     18.105
165,1979,    09,  19,     17.978
166,1979,    09,  21,     18.117
167,1979,    09,  23,     17.973
168,1979,    09,  25,     18.118
169,1979,    09,  27,     18.260
170,1979,    09,  29,     18.257
171,1979,    10,  01,     18.250
172,1979,    10,  03,     18.311
173,1979,    10,  05,     18.275
174,1979,    10,  07,     18.109
175,1979,    10,  09,     18.160
176,1979,    10,  11,     18.022
177,1979,    10,  13,     18.077
178,1979,    10,  15,     17.961
179,1979,    10,  17,     17.950
180,1979,    10,  19,     17.777
181,1979,    10,  21,     17.738
182,1979,    10,  23,     17.598
183,1979,    10,  25,     17.403
184,1979,    10,  27,     17.274
185,1979,    10,  29,     17.206
186,1979,    10,  31,     17.017
187,1979,    11,  02,     16.945
188,1979,    11,  04,     16.767
189,1979,    11,  06,     16.710
190,1979,    11,  08,     16.537
191,1979,    11,  10,     16.266
192,1979,    11,  12,     15.947
193,1979,    11,  14,     15.729
194,1979,    11,  16,     15.481
195,1979,    11,  18,     15.256
196,1979,    11,  20,     14.984
197,1979,    11,  22,     14.682
198,1979,    11,  24,     14.202
199,1979,    11,  26,     13.820
200,1979,    11,  28,     13.569
201,1979,    11,  30,     13.161
202,1979,    12,  02,     12.893
203,1979,    12,  04,     12.471
204,1979,    12,  06,     12.042
205,1979,    12,  08,     11.457
206,1979,    12,  10,     10.844
207,1979,    12,  12,     10.340
208,1979,    12,  14,      9.793
209,1979,    12,  16,      9.125
210,1979,    12,  18,      8.307
211,1979,    12,  20,      7.891
212,1979,    12,  22,      7.405
213,1979,    12,  24,      6.842
214,1979,    12,  26,      6.607
215,1979,    12,  28,      6.396
216,1979,    12,  30,      6.124
217,1980,    01,  01,      5.967
218,1980,    01,  03,      5.674
219,1980,    01,  05,      5.584
220,1980,    01,  07,      5.329
221,1980,    01,  09,      5.000
222,1980,    01,  11,      4.874
223,1980,    01,  13,      4.682
224,1980,    01,  15,      4.569
225,1980,    01,  17,      4.419
226,1980,    01,  19,      4.319
227,1980,    01,  21,      4.115
228,1980,    01,  23,      3.986
229,1980,    01,  25,      3.801
230,1980,    01,  27,      3.664
231,1980,    01,  29,      3.513
232,1980,    01,  31,      3.496
233,1980,    02,  02,      3.355
234,1980,    02,  04,      3.218
235,1980,    02,  06,      3.124
236,1980,    02,  08,      3.009
237,1980,    02,  10,      2.929
238,1980,    02,  12,      2.910
239,1980,    02,  14,      2.690
240,1980,    02,  16,      2.676
241,1980,    02,  18,      2.629
242,1980,    02,  20,      2.591
243,1980,    02,  22,      2.609
244,1980,    02,  24,      2.583
245,1980,    02,  26,      2.521
246,1980,    02,  28,      2.613
247,1980,    03,  01,      2.576
248,1980,    03,  03,      2.672
249,1980,    03,  05,      2.839
250,1980,    03,  07,      2.944
251,1980,    03,  09,      3.026
252,1980,    03,  11,      3.051
253,1980,    03,  13,      3.162
254,1980,    03,  15,      3.256
255,1980,    03,  17,      3.312
256,1980,    03,  19,      3.396
257,1980,    03,  21,      3.416
258,1980,    03,  23,      3.515
259,1980,    03,  25,      3.628
260,1980,    03,  27,      3.790
261,1980,    03,  29,      3.966
262,1980,    03,  31,      4.169
263,1980,    04,  02,      4.264
264,1980,    04,  04,      4.348
265,1980,    04,  06,      4.563
266,1980,    04,  08,      4.708
267,1980,    04,  10,      4.760
268,1980,    04,  12,      4.937
269,1980,    04,  14,      5.026
270,1980,    04,  16,      5.197
271,1980,    04,  18,      5.465
272,1980,    04,  20,      5.726
273,1980,    04,  22,      6.019
274,1980,    04,  24,      6.215
275,1980,    04,  26,      6.340
276,1980,    04,  28,      6.626
277,1980,    04,  30,      6.881
278,1980,    05,  02,      7.174
279,1980,    05,  04,      7.375
280,1980,    05,  06,      7.682
281,1980,    05,  08,      7.933
282,1980,    05,  10,      8.259
283,1980,    05,  12,      8.466
284,1980,    05,  14,      8.557
285,1980,    05,  16,      8.914
286,1980,    05,  18,      9.087
287,1980,    05,  20,      9.300
288,1980,    05,  22,      9.588
289,1980,    05,  24,      9.832
290,1980,    05,  26,     10.063
291,1980,    05,  28,     10.207
292,1980,    05,  30,     10.413
293,1980,    06,  01,     10.681
294,1980,    06,  03,     10.742
295,1980,    06,  05,     11.111
296,1980,    06,  07,     11.314
297,1980,    06,  09,     11.665
298,1980,    06,  11,     11.961
299,1980,    06,  13,     12.276
300,1980,    06,  15,     12.644
301,1980,    06,  17,     12.838
302,1980,    06,  19,     13.119
303,1980,    06,  21,     13.311
304,1980,    06,  23,     13.671
305,1980,    06,  25,     14.046
306,1980,    06,  27,     13.912
307,1980,    06,  29,     14.063
308,1980,    07,  01,     14.199
309,1980,    07,  03,     14.417
310,1980,    07,  05,     14.686
311,1980,    07,  07,     14.935
312,1980,    07,  09,     15.066
313,1980,    07,  11,     15.226
314,1980,    07,  13,     15.429
315,1980,    07,  15,     15.539
316,1980,    07,  17,     15.719
317,1980,    07,  19,     15.846
318,1980,    07,  21,     15.967
319,1980,    07,  23,     16.158
320,1980,    07,  25,     16.289
321,1980,    07,  27,     16.468
322,1980,    07,  29,     16.505
323,1980,    07,  31,     16.582
324,1980,    08,  02,     16.672
325,1980,    08,  04,     17.078
326,1980,    08,  06,     17.282
327,1980,    08,  08,     17.297
328,1980,    08,  10,     17.572
329,1980,    08,  12,     17.768
330,1980,    08,  14,     17.932
331,1980,    08,  16,     17.880
332,1980,    08,  18,     17.944
333,1980,    08,  20,     18.140
334,1980,    08,  22,     18.143
335,1980,    08,  24,     18.270
336,1980,    08,  26,     18.338
337,1980,    08,  28,     18.341
338,1980,    08,  30,     18.427
339,1980,    09,  01,     18.612
340,1980,    09,  03,     18.604
341,1980,    09,  05,     18.619
342,1980,    09,  07,     18.653
343,1980,    09,  09,     18.586
344,1980,    09,  11,     18.736
345,1980,    09,  13,     18.784
346,1980,    09,  15,     18.842
347,1980,    09,  17,     18.830
348,1980,    09,  19,     18.977
349,1980,    09,  21,     19.026
350,1980,    09,  23,     19.092
351,1980,    09,  25,     19.020
352,1980,    09,  27,     18.917
353,1980,    09,  29,     18.961
354,1980,    10,  01,     18.877
355,1980,    10,  03,     18.883
356,1980,    10,  05,     18.834
357,1980,    10,  07,     18.725
358,1980,    10,  09,     18.786
359,1980,    10,  11,     18.793
360,1980,    10,  13,     18.794
361,1980,    10,  15,     18.913
362,1980,    10,  17,     18.660
363,1980,    10,  19,     18.536
364,1980,    10,  21,     18.469
365,1980,    10,  23,     18.367
366,1980,    10,  25,     18.312
367,1980,    10,  27,     18.209
368,1980,    10,  29,     18.064
369,1980,    10,  31,     17.864
370,1980,    11,  02,     17.725
371,1980,    11,  04,     17.504
372,1980,    11,  06,     17.321
373,1980,    11,  08,     17.235
374,1980,    11,  10,     17.077
375,1980,    11,  12,     16.900
376,1980,    11,  14,     16.633
377,1980,    11,  16,     16.394
378,1980,    11,  18,     16.133
379,1980,    11,  20,     15.758
380,1980,    11,  22,     15.378
381,1980,    11,  24,     15.015
382,1980,    11,  26,     14.714
383,1980,    11,  28,     14.334
384,1980,    11,  30,     13.876
385,1980,    12,  02,     13.549
386,1980,    12,  04,     13.156
387,1980,    12,  06,     12.601
388,1980,    12,  08,     12.097
389,1980,    12,  10,     11.659
390,1980,    12,  12,     11.170
391,1980,    12,  14,     10.702
392,1980,    12,  16,     10.212
393,1980,    12,  18,      9.676
394,1980,    12,  20,      9.342
395,1980,    12,  22,      8.650
396,1980,    12,  24,      8.100
397,1980,    12,  26,      7.612
398,1980,    12,  28,      7.178
399,1980,    12,  30,      6.634
400,1981,    01,  01,      6.323
401,1981,    01,  03,      5.791
402,1981,    01,  05,      5.351
403,1981,    01,  07,      5.191
404,1981,    01,  09,      4.775
405,1981,    01,  11,      4.588
406,1981,    01,  13,      4.503
407,1981,    01,  15,      4.286
408,1981,    01,  17,      4.073
409,1981,    01,  19,      3.971
410,1981,    01,  21,      3.838
411,1981,    01,  23,      3.745
412,1981,    01,  25,      3.699
413,1981,    01,  27,      3.536
414,1981,    01,  29,      3.509
415,1981,    01,  31,      3.411
416,1981,    02,  02,      3.297
417,1981,    02,  04,      3.214
418,1981,    02,  06,      3.111
419,1981,    02,  08,      2.935
420,1981,    02,  10,      2.878
421,1981,    02,  12,      2.821
422,1981,    02,  14,      2.763
423,1981,    02,  16,      2.707
424,1981,    02,  18,      2.705
425,1981,    02,  20,      2.694
426,1981,    02,  22,      2.731
427,1981,    02,  24,      2.742
428,1981,    02,  26,      2.834
429,1981,    02,  28,      2.797
430,1981,    03,  02,      2.724
431,1981,    03,  04,      2.759
432,1981,    03,  06,      2.755
433,1981,    03,  08,      2.862
434,1981,    03,  10,      3.013
435,1981,    03,  12,      3.075
436,1981,    03,  14,      3.226
437,1981,    03,  16,      3.338
438,1981,    03,  18,      3.442
439,1981,    03,  20,      3.514
440,1981,    03,  22,      3.672
441,1981,    03,  24,      3.893
442,1981,    03,  26,      4.114
443,1981,    03,  28,      4.195
444,1981,    03,  30,      4.291
445,1981,    04,  01,      4.505
446,1981,    04,  03,      4.589
447,1981,    04,  05,      4.787
448,1981,    04,  07,      5.018
449,1981,    04,  09,      5.136
450,1981,    04,  11,      5.417
451,1981,    04,  13,      5.565
452,1981,    04,  15,      5.793
453,1981,    04,  17,      5.988
454,1981,    04,  19,      6.214
455,1981,    04,  21,      6.393
456,1981,    04,  23,      6.717
457,1981,    04,  25,      6.903
458,1981,    04,  27,      7.167
459,1981,    04,  29,      7.385
460,1981,    05,  01,      7.549
461,1981,    05,  03,      7.750
462,1981,    05,  05,      8.029
463,1981,    05,  07,      8.269
464,1981,    05,  09,      8.439
465,1981,    05,  11,      8.671
466,1981,    05,  13,      8.912
467,1981,    05,  15,      9.225
468,1981,    05,  17,      9.396
469,1981,    05,  19,      9.707
470,1981,    05,  21,      9.932
471,1981,    05,  23,     10.293
472,1981,    05,  25,     10.481
473,1981,    05,  27,     10.701
474,1981,    05,  29,     10.987
475,1981,    05,  31,     11.333
476,1981,    06,  02,     11.609
477,1981,    06,  04,     11.792
478,1981,    06,  06,     11.822
479,1981,    06,  08,     11.885
480,1981,    06,  10,     12.236
481,1981,    06,  12,     12.599
482,1981,    06,  14,     12.768
483,1981,    06,  16,     13.142
484,1981,    06,  18,     13.593
485,1981,    06,  20,     13.670
486,1981,    06,  22,     13.754
487,1981,    06,  24,     14.008
488,1981,    06,  26,     14.317
489,1981,    06,  28,     14.599
490,1981,    06,  30,     14.834
491,1981,    07,  02,     15.061
492,1981,    07,  04,     15.235
493,1981,    07,  06,     15.362
494,1981,    07,  08,     15.356
495,1981,    07,  10,     15.559
496,1981,    07,  12,     15.757
497,1981,    07,  14,     15.918
498,1981,    07,  16,     16.021
499,1981,    07,  18,     16.090
500,1981,    07,  20,     16.267
501,1981,    07,  22,     16.532
502,1981,    07,  24,     16.803
503,1981,    07,  26,     16.810
504,1981,    07,  28,     16.812
505,1981,    07,  30,     16.998
506,1981,    08,  01,     16.968
507,1981,    08,  03,     17.137
508,1981,    08,  05,     17.270
509,1981,    08,  07,     17.290
510,1981,    08,  09,     17.475
511,1981,    08,  11,     17.687
512,1981,    08,  13,     17.712
513,1981,    08,  15,     17.841
514,1981,    08,  17,     18.051
515,1981,    08,  19,     17.993
516,1981,    08,  21,     17.948
517,1981,    08,  23,     17.900
518,1981,    08,  25,     17.983
519,1981,    08,  27,     18.125
520,1981,    08,  29,     18.203
521,1981,    08,  31,     18.201
522,1981,    09,  02,     18.200
523,1981,    09,  04,     18.301
524,1981,    09,  06,     18.330
525,1981,    09,  08,     18.427
526,1981,    09,  10,     18.445
527,1981,    09,  12,     18.479
528,1981,    09,  14,     18.636
529,1981,    09,  16,     18.689
530,1981,    09,  18,     18.856
531,1981,    09,  20,     18.778
532,1981,    09,  22,     18.706
533,1981,    09,  24,     18.763
534,1981,    09,  26,     18.789
535,1981,    09,  28,     18.778
536,1981,    09,  30,     18.770
537,1981,    10,  02,     18.717
538,1981,    10,  04,     18.670
539,1981,    10,  06,     18.700
540,1981,    10,  08,     18.701
541,1981,    10,  10,     18.621
542,1981,    10,  12,     18.689
543,1981,    10,  14,     18.478
544,1981,    10,  16,     18.452
545,1981,    10,  18,     18.469
546,1981,    10,  20,     18.216
547,1981,    10,  22,     17.968
548,1981,    10,  24,     17.882
549,1981,    10,  26,     17.723
550,1981,    10,  28,     17.654
551,1981,    10,  30,     17.466
552,1981,    11,  01,     17.213
553,1981,    11,  03,     17.098
554,1981,    11,  05,     16.830
555,1981,    11,  07,     16.769
556,1981,    11,  09,     16.708
557,1981,    11,  11,     16.497
558,1981,    11,  13,     16.446
559,1981,    11,  15,     16.301
560,1981,    11,  17,     15.997
561,1981,    11,  19,     15.922
562,1981,    11,  21,     15.792
563,1981,    11,  23,     15.379
564,1981,    11,  25,     15.168
565,1981,    11,  27,     14.920
566,1981,    11,  29,     14.630
567,1981,    12,  01,     14.323
568,1981,    12,  03,     13.957
569,1981,    12,  05,     13.615
570,1981,    12,  07,     13.135
571,1981,    12,  09,     12.725
572,1981,    12,  11,     12.432
573,1981,    12,  13,     12.133
574,1981,    12,  15,     11.485
575,1981,    12,  17,     10.775
576,1981,    12,  19,     10.038
577,1981,    12,  21,      9.355
578,1981,    12,  23,      8.900
579,1981,    12,  25,      8.397
580,1981,    12,  27,      8.005
581,1981,    12,  29,      7.716
582,1981,    12,  31,      7.326
583,1982,    01,  02,      7.039
584,1982,    01,  04,      6.689
585,1982,    01,  06,      6.393
586,1982,    01,  08,      6.084
587,1982,    01,  10,      5.862
588,1982,    01,  12,      5.625
589,1982,    01,  14,      5.367
590,1982,    01,  16,      5.260
591,1982,    01,  18,      5.046
592,1982,    01,  20,      4.801
593,1982,    01,  22,      4.528
594,1982,    01,  24,      4.280
595,1982,    01,  26,      4.099
596,1982,    01,  28,      4.028
597,1982,    01,  30,      3.800
598,1982,    02,  01,      3.650
599,1982,    02,  03,      3.555
600,1982,    02,  05,      3.378
601,1982,    02,  07,      3.316
602,1982,    02,  09,      3.185
603,1982,    02,  11,      3.071
604,1982,    02,  13,      3.027
605,1982,    02,  15,      2.964
606,1982,    02,  17,      2.912
607,1982,    02,  19,      2.973
608,1982,    02,  21,      2.891
609,1982,    02,  23,      2.890
610,1982,    02,  25,      2.977
611,1982,    02,  27,      3.010
